"Affiliation","City","State","Country","Longitude","Latitude","Coded Location","Geocoded","England _ km","England _Emissions","Cape Town _ km","Cape Town _Emissions"
NA,"Madrid",NA,"Spain",-3.6834,40.4,"Madrid, Madrid, Spain","No",2396.09193403355,0.383218268602995,17139.6095630103,2.63701240116771
NA,"Madrid",NA,"Spain",-3.6834,40.4,"Madrid, Madrid, Spain","No",2396.09193403355,0.383218268602995,17139.6095630103,2.63701240116771
NA,"Madrid",NA,"Spain",-3.6834,40.4,"Madrid, Madrid, Spain","No",2396.09193403355,0.383218268602995,17139.6095630103,2.63701240116771
NA,"Madrid",NA,"Spain",-3.6834,40.4,"Madrid, Madrid, Spain","No",2396.09193403355,0.383218268602995,17139.6095630103,2.63701240116771
NA,"Madrid",NA,"Spain",-3.6834,40.4,"Madrid, Madrid, Spain","No",2396.09193403355,0.383218268602995,17139.6095630103,2.63701240116771
NA,"Madrid",NA,"Spain",-3.6834,40.4,"Madrid, Madrid, Spain","No",2396.09193403355,0.383218268602995,17139.6095630103,2.63701240116771
NA,"Madrid",NA,"Spain",-3.6834,40.4,"Madrid, Madrid, Spain","No",2396.09193403355,0.383218268602995,17139.6095630103,2.63701240116771
NA,"Madrid",NA,"Spain",-3.6834,40.4,"Madrid, Madrid, Spain","No",2396.09193403355,0.383218268602995,17139.6095630103,2.63701240116771
NA,"Madrid",NA,"Spain",-3.6834,40.4,"Madrid, Madrid, Spain","No",2396.09193403355,0.383218268602995,17139.6095630103,2.63701240116771
NA,"Madrid",NA,"Spain",-3.6834,40.4,"Madrid, Madrid, Spain","No",2396.09193403355,0.383218268602995,17139.6095630103,2.63701240116771
NA,"Madrid",NA,"Spain",-3.6834,40.4,"Madrid, Madrid, Spain","No",2396.09193403355,0.383218268602995,17139.6095630103,2.63701240116771
NA,"Goeteborg",NA,"Sweden",11.96679,57.70716,"Goeteborg, Sweden","Yes",2363.60867522039,0.378023068024858,20412.9245180421,3.14062784804319
NA,"Philadelphia",NA,"United States of America",-75.1652215,39.9525839,"philadelphia, pa, usa","Yes",11112.9523172188,1.7097818340819,25234.8514026341,3.88250478202158
